Jenis_Kelamin,Pekerjaan,Sering,Lupa_Waktu,Waktu_Sekali_Pakai,Waktu_Harian,Mengganggu_Produktivitas,Membuang_Waktu,Tidak_Bisa_Kontrol_Diri,Tidak_Sadar_Waktu,Fomo,Tanpa_Tujuan,Terpikirkan,Usaha_Melepaskan_Diri,Kesulitan_Melepaskan_Diri,Butuh_Aplikasi,Pernah_Memakai_Aplikasi_Pengaturan_Waktu
Perempuan,Pelajar/Mahasiswa,WA,Twitter,11-30 menit,> 2 jam,3,4,3,3,3,4,3,Pernah,Ya,Tidak,Ya
Perempuan,Pelajar/Mahasiswa,Instagram,Instagram,5-10 menit,31-60 menit,4,3,3,4,2,2,2,Pernah,Tidak,Ya,Ya
Laki-laki,Pelajar/Mahasiswa,Instagram,Instagram,> 1 jam,> 3 jam,5,5,5,5,4,5,3,Pernah,Ya,Ya,Ya
Laki-laki,Pelajar/Mahasiswa,Instagram,Instagram,5-10 menit,> 3 jam,4,4,5,5,5,4,4,Pernah,Ya,Ya,Ya
Perempuan,Pelajar/Mahasiswa,Instagram,Instagram,> 1 jam,> 3 jam,5,5,5,5,5,5,5,Pernah,Ya,Ya,Tidak
Perempuan,Pelajar/Mahasiswa,Instagram,Instagram,> 1 jam,> 3 jam,4,3,4,5,4,4,3,Pernah,Ya,Ya,Tidak
Perempuan,Pelajar/Mahasiswa,Instagram,Instagram,11-30 menit,> 1 jam,2,2,3,4,2,3,3,Tidak Tidak Pernah,Tidak,Tidak,Tidak
Laki-laki,Pelajar/Mahasiswa,Twitter,Instagram,5-10 menit,31-60 menit,3,2,4,5,4,3,4,Pernah,Ya,Ya,Tidak
Perempuan,Pelajar/Mahasiswa,Instagram,Instagram,31-60 menit,> 2 jam,3,4,4,4,3,4,3,Pernah,Ya,Ya,Tidak
Perempuan,Pelajar/Mahasiswa,WA,WA,11-30 menit,> 2 jam,3,2,3,2,1,3,1,Pernah,Tidak,Tidak,Ya
